 Usage: honggfuzz [options] -- path_to_command [args]
honggfuzz-0-exid0_1         | Options:
honggfuzz-0-exid0_1         |  --help|-h 
honggfuzz-0-exid0_1         | 	Help plz..
honggfuzz-0-exid0_1         |  --input|-i VALUE
honggfuzz-0-exid0_1         | 	Path to a directory containing initial file corpus
honggfuzz-0-exid0_1         |  --output|-o VALUE
honggfuzz-0-exid0_1         | 	Output data (new dynamic coverage corpus, or the minimized coverage corpus) is written to this directory (default: input directory is re-used)
honggfuzz-0-exid0_1         |  --persistent|-P 
honggfuzz-0-exid0_1         | 	Enable persistent fuzzing (use hfuzz_cc/hfuzz-clang to compile code). This will be auto-detected!!!
honggfuzz-0-exid0_1         |  --instrument|-z 
honggfuzz-0-exid0_1         | 	*DEFAULT-MODE-BY-DEFAULT* Enable compile-time instrumentation (use hfuzz_cc/hfuzz-clang to compile code)
honggfuzz-0-exid0_1         |  --minimize|-M 
honggfuzz-0-exid0_1         | 	Minimize the input corpus. It will most likely delete some corpus files (from the --input directory) if no --output is used!
honggfuzz-0-exid0_1         |  --noinst|-x 
honggfuzz-0-exid0_1         | 	Static mode only, disable any instrumentation (hw/sw) feedback
honggfuzz-0-exid0_1         |  --keep_output|-Q 
honggfuzz-0-exid0_1         | 	Don't close children's stdin, stdout, stderr; can be noisy
honggfuzz-0-exid0_1         |  --timeout|-t VALUE
honggfuzz-0-exid0_1         | 	Timeout in seconds (default: 1 (second))
honggfuzz-0-exid0_1         |  --threads|-n VALUE
honggfuzz-0-exid0_1         | 	Number of concurrent fuzzing threads (default: number of CPUs / 2)
honggfuzz-0-exid0_1         |  --stdin_input|-s 
honggfuzz-0-exid0_1         | 	Provide fuzzing input on STDIN, instead of ___FILE___
honggfuzz-0-exid0_1         |  --mutations_per_run|-r VALUE
honggfuzz-0-exid0_1         | 	Maximal number of mutations per one run (default: 6)
honggfuzz-0-exid0_1         |  --logfile|-l VALUE
honggfuzz-0-exid0_1         | 	Log file
honggfuzz-0-exid0_1         |  --verbose|-v 
honggfuzz-0-exid0_1         | 	Disable ANSI console; use simple log output
honggfuzz-0-exid0_1         |  --verifier|-V 
honggfuzz-0-exid0_1         | 	Enable crashes verifier
honggfuzz-0-exid0_1         |  --debug|-d 
honggfuzz-0-exid0_1         | 	Show debug messages (level >= 4)
honggfuzz-0-exid0_1         |  --quiet|-q 
honggfuzz-0-exid0_1         | 	Show only warnings and more serious messages (level <= 1)
honggfuzz-0-exid0_1         |  --extension|-e VALUE
honggfuzz-0-exid0_1         | 	Input file extension (e.g. 'swf'), (default: 'fuzz')
honggfuzz-0-exid0_1         |  --workspace|-W VALUE
honggfuzz-0-exid0_1         | 	Workspace directory to save crashes & runtime files (default: '.')
honggfuzz-0-exid0_1         |  --crashdir VALUE
honggfuzz-0-exid0_1         | 	Directory where crashes are saved to (default: workspace directory)
honggfuzz-0-exid0_1         |  --covdir_all|-o VALUE
honggfuzz-0-exid0_1         | 	** DEPRECATED ** use --output
honggfuzz-0-exid0_1         |  --covdir_new VALUE
honggfuzz-0-exid0_1         | 	New coverage (beyond the dry-run fuzzing phase) is written to this separate directory
honggfuzz-0-exid0_1         |  --dict|-w VALUE
honggfuzz-0-exid0_1         | 	Dictionary file. Format:http://llvm.org/docs/LibFuzzer.html#dictionaries
honggfuzz-0-exid0_1         |  --stackhash_bl|-B VALUE
honggfuzz-0-exid0_1         | 	Stackhashes blocklist file (one entry per line)
honggfuzz-0-exid0_1         |  --mutate_cmd|-c VALUE
honggfuzz-0-exid0_1         | 	External command producing fuzz files (instead of internal mutators)
honggfuzz-0-exid0_1         |  --pprocess_cmd VALUE
honggfuzz-0-exid0_1         | 	External command postprocessing files produced by internal mutators
honggfuzz-0-exid0_1         |  --ffmutate_cmd VALUE
honggfuzz-0-exid0_1         | 	External command mutating files which have effective coverage feedback
honggfuzz-0-exid0_1         |  --run_time VALUE
honggfuzz-0-exid0_1         | 	Number of seconds this fuzzing session will last (default: 0 [no limit])
honggfuzz-0-exid0_1         |  --iterations|-N VALUE
honggfuzz-0-exid0_1         | 	Number of fuzzing iterations (default: 0 [no limit])
honggfuzz-0-exid0_1         |  --rlimit_as VALUE
honggfuzz-0-exid0_1         | 	Per process RLIMIT_AS in MiB (default: 0 [default limit])
honggfuzz-0-exid0_1         |  --rlimit_rss VALUE
honggfuzz-0-exid0_1         | 	Per process RLIMIT_RSS in MiB (default: 0 [default limit]). It will also set *SAN's soft_rss_limit_mb
honggfuzz-0-exid0_1         |  --rlimit_data VALUE
honggfuzz-0-exid0_1         | 	Per process RLIMIT_DATA in MiB (default: 0 [default limit])
honggfuzz-0-exid0_1         |  --rlimit_core VALUE
